id,osf_title
6krj7,Need dynamics
6pq9e,"Tap Water, Top Water? Quality (mis)-perception, price (mis)-perception and drinking water choice"
6ukwg,"Supplemental materials for preprint: Detecting (non)parallel evolution in multidimensional spaces: angles, correlations, and eigenanalysis"
6ya5d,"Social Media, Habits, and Rewards"
6z79s,Network Science for Mapping Bilingual Conversational Topics
73y8p,Validation of the RAQ-R in psychiatric patients
7h94n,Data and code for Thompson et al. Chronology of early human impacts and ecosystem reorganisation in central Africa
7mey8,A Bayesian Approach to Evaluation of Soil Biogeochemical Models Meta-analysis Data and R and Stan Code
7v4ep,"Data and R code for: ""Collaboration enhances career progression in academic science, especially for female researchers"""
7vbj9,Competition for novelty reduces information sampling in a research game - a registered report.
7vbtr,"Gyurkovics, Stafford, &amp; Levita: ""Cognitive control across adolescence: Dynamic adjustments and mind-wandering"""
7z3mk,Exploring Content Knowledge: Country Profile of Science Strengths and Weaknesses in TIMSS. Possible Implications for Educational Professionals and Science Research
8akru,"Preconference ""Estimating and interpreting psychological networks in R"""
8edp7,"Social factors, pre-existing mental disorders and distress during COVID-19"
8fsbd,Assignment 7.1 Open Science
8fw3b,Familiar size
92e6c,The energetics of uniquely human subsistence strategies
94jyp,Open Science @ SoPVS
975k3,Statistical Power and Optimal Design of RCTs Investigating Mediation Effects
9e3cu,R for Chemists and Biochemists materials and resources
9gjyc,Strategic disinformation outperforms honesty in competition for social influence
9gq4a,Getting Started With R When You Know Absolutely Nothing
9jzfr,Construction and Initial Validation of the Worth and Value Self-Esteem Scale (WAVSES) 
9mc84,DGPS2018 - An Introduction to Machine Learning for Psychologists in R
9tnmv,Overcorrection for Social Categorization Information Moderates Impact Bias in Affective Forecasting
9vr6q,Expanding R Through Accessible Interactivity: Development of tidy psychological statistics modules- SIPS Grants In Aid 2023
a8htx,"Early representations of social intimacy: Infants, toddlers, and children use saliva sharing as a cue of close social affiliation"
abts4,SDT Probit Models for Deception Research - R
amd3r,"Data and code from ""Wind conditions influence breeding season movements in a nomadic polygynous shorebird"""
b4gc7,"Workshop ""Estimating and interpreting psychological networks in R"""
b7krz,Snapshots of Daily Life: Investigating Daily Situations Through the Lens of Smartphone Sensing
bhrwx,Raising awareness about social exclusion in schools through experiential learning
bkuwa,"Exploring the Effect of Social Distance on Medium Preferences in Interpersonal Communication: A Replication of Amit, Wakslak and Trope (2013, Experiment 2)"
c93vs,Dissertation: Natürliche Geräusche und Bilder in Benennungsaufgaben - Semantische Kontexteffekte innerhalb und zwischen  Stimulusmodalitäten
cd5r8,"Analysis code for the paper: Estimating the reliability of response time difference measures: Towards a standardized, model-based approach"
cht59,Worsened self-rated health in the course of the COVID-19 pandemic among older adults in Europe
cqsr8,Why did a vehicle stop? A methodology for detection and classification of stops in vehicle trajectories
d4hjq,Estimation of electoral outcome for the Czech Social Democratic Party
dez9b,Testing Bayesian Informative Hypotheses in 5 steps with R and JASP
dgt8x,Analytic Code: Cognitive Processes Associated with Sudden Gains in Cognitive Therapy for Posttraumatic Stress Disorder in Routine Care
dh32q,Rating interviews - positivity
dhmjx,Phantom rules: Establishing a subclass of rules
dkrhy,Psychometrics of the Biographical Inventory of Creative Behaviors (BICB)
dngyk,An experience sampling measure of the key features of rumination
dpkyb,"Data, Materials, and Code for: Repetition learning is neither a continuous nor an implicit process"
dqc3y,"Times are changing, bias isn’t: A meta-meta-analysis on publication bias detection practices, prevalence rates, and predictors in Industrial/Organizational Psychology"
dr8gy,Association between in-ICU  red blood pack transfusion and long-term outcome in the ICU survivors
dzwct,Impact of emotion laden acoustic stimuli on group synchronisation performance (data repository and codes)
eg6w5,Social Decoys: Leveraging Choice Architecture to Alter Social Preferences
eks6u,An introduction to R
ex9fj,Quantifying the difference in reading fluency between L1 and L2 readers of English
f3qrh,The Role of Linguistic Alignment on Question Development in FTF and SCMC Contexts: A Partial Replication Study - Code and data
f6qsk,"Perceiving locations of moving objects across eye blinks (2020, Psychological Science)."
fb5tw,"Code and data for ""Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1"""
fdp39,The Impact of Internet and Social Media Use on Well-Being: A longitudinal analysis of adolescents across nine years
fr5ed,Do moral messages increase cooperation? Code and Data
fsbzw,Prediction advantage as retrieval interference: an ACT-R model of processing possessive pronouns
fvw2k,"New approach to identifying heat treated silcrete near Pinnacle Point, South Africa"
fykpt,Mortality factors in pancreatic sciences
g2nkw,The Youth and Childhood Adversity Scale: A step towards developing a new measure of adversity and its severity
g8kbu,Social Smartphone Apps Do Not Capture Attention Despite Their Perceived High Reward Value
gk6jh,Shrinking into the big city: Influences of genetic and environmental factors on urban dragon lizard morphology and performance capacity
greqt,Sensitive period in humans: Code and Data
gy5vm,Extended data for Non-AIDS defining malignancies in the combination ART era: immunological and socio-behavioral risk factors (Ruffieux et al. Faculty1000research 2019)
gztxa,Vowel harmony
ha4q8,SIPS 2017 Sample Size and Effect Size Workshop
hbju7,"Social Distance and Preference for Visual and Verbal Mediums in Interpersonal Communication: A Conceptual Replication of Amit et al. (2013, Experiment 2)."
he8mu,Status of our Science
hfjgw,Living on the Edge. Neighborhood Boundaries and the Spatial Dynamics of Violent Crime
hfy4k,"Replication data and code materials for the study: ""Explaining media coverage of Constitutional Court decisions in Germany: The role of case characteristics"""
hn3bu,Recovery from misinterpretations during online sentence processing
hrf5t,Categorization and Recognition in a Naturalistic Stimulus Domain
hu2n8,The social integration of high-achieving students in Germany
hzncs,Witt (submitted) - Statistical Significance and SDT
jh47m,Politics in Science Project_Pre-Registration Document for Gatekeepers Project
jhyu9,Multilevel Response Surface Analysis
k853j,"Needs for Security &amp; Certainty, Political Engagemenet, and Economic Beliefs"
kdjqz,A computational evaluation of two models of retrieval processes in sentence processing in aphasia
kgtx6,Repository with R vignettes to support data organization and analysis for the SHARE study
kpe75,"Data and code for ""Moderators of relative confidence calibration"""
m6pb2,"Is Accurate, Positive, or Inflated Self-Perception Most Advantageous for Psychological Adjustment? A Competitive Test of Key Hypotheses"
m72gb,Understanding the Effects of Analytical Choices on Finding the Privacy Paradox: A Specification Curve Analysis of Large-Scale Survey Data
m87vg,Behavioural and neural processing costs of semantic ambiguity resolution by ear and eye
mbf32,SSSS 2016 Workshop-Latent Variable Analysis in R Made Easy
mcy6r,A Dynamic Analysis of the Effects of Alcohol on Social Experiences
mhgcx,Cognitive constraints on vocal combinatoriality in a social bird  
mj5nh,NZAVS Belief System Centrality
mp9td,Investigating the Communication-Induced Memory Bias in the Context of Third-Party Social Interactions
n5ahf,Repository for Impact of Successive Exertional Heat Injuries on Thermoregulatory and Systemic Inflammatory Responses in Mice
n7sep,"Impact of baseline cases of cough and fever on UK COVID-19 diagnostic testing rates: estimates from the Bug Watch community cohort study - Supplementary material, code and data"
nd9yr,Metacognitive insighit in COVID-19 knowledge promotes protective behaviours: data &amp; code repository
ns4h9,Accuracy in Perceptions of Fundamental Social Motives
p2xgq,Touchscreen participation
p46mb,ChrontouR
p6msu,Pattern similarity analyses of frontoparietal task coding: Individual variation and genetic influences
p7zwr,2022-Jafari_MA_UiT
pnug5,Sex-specific behavioral syndromes allow the independent evolution of behavioral dimorphism 
przvy,Grammatical gender in French: its impact on the interpretation of social gender in generic hybrid nouns
ptfye,"Vogel &amp; Homberg: P-Hacking, P-Curves and the PSM–Performance Relationship: Is there evidential value?"
pvyhe,How subcultures emerge
q2zrp,Former Veg*ns: Reasons for abandoning veg*n diet goals
qhaf8,BCCCD23 - Elements of Cognitive Pupillometry
qk3bf,SITAR 2018: The Latent Structure of Interpersonal Problems
qrv2e,Testing the divisive normalization hypothesis of neural value coding
qsa5w,Psychometrics of the Self-Reflection and Insight Scale (SRIS)
qwr69,Covariate Selection in Causal Learning under Non-Gaussianity
qxf5t,Cultures under stress: A cross-national meta-analysis of cortisol responses to the Trier Social Stress Test and their association with internalizing mental disorders and anxiety-based values
qxwsz,Fear and anxiety differ in construal level and scope
qy5sd,Working Memory Capacity Limits Memory for Bindings
qynhu,The influence of verb tense on mental simulation during literary reading
r24vb,How do Different Types of Synaesthesia Cluster Together?  Implications for Causal Mechanisms
r4wg2,Social Status and Life Satisfaction: The Role of Future Expectations
rbxzs,Meta-análisis en ciencias sociales y de la salud
rf6zu,Einführung in die statistische Analyse von Netzwerken mit Latent-Space Modellen in R
rh2sw,A tutorial on Bayesian analysis of ecological momentary assessment data in psychological research
rmcuy,Strategies for integrating disparate social information
rtmyx,A user perspective on the avalanche danger scale – Insights from North America---Data and Code
scn62,
skp56,CSEP 2021: Data Science for the Modern Exercise Physiologist
srbcf,Prostate Cancer TIME
sw7rq,Establishing the social licence to introduce tracking technologies to address COVID-19
sx6yf,No man is an island: Effects of social seclusion on REM sleep and social dream content
t2jka,Batch upload stimuli to a Qualtrics survey (R script)
t93pf,Open Science in Marketing
tajd9,On the role of response styles in the study of intraindividual variability
tbczv,Psychological theories of preferential choices under time pressure are more consistent than descriptive theories
tfbps,Idiographic Personality Network Modeling 
tgf3q,"The Late Gravettian Site of Kostënki 21 Layer III, Russia: a Chronocultural Reassessment Based on a New Interpretation of the Significance of Intra-site Spatial Patterning"
tnbev,Lewis Acid–Base - R Files for Instructors and Researchers
u3wby,The Open Science Twitterverse
u9hkj,"Data and Code for ""Carbon dioxide removal to combat climate change? An expert survey on perception and support"""
uckzx,Heads &amp; Tails: A study of the informational value of Greek coinage (650 BCE – 336 BCE)
uf63k,Syed Manuscript Review Analysis
uhma8,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018)
ujpyn,Power Posing - P-Curve
unxj2,Lean-back and lean-forward online behaviors: the role of emotions in passive versus proactive information diffusion of social media content.
uq3cv,Refining manual annotation effort
uxdwh,Calculating the relative importance of multiple regression predictor variables using dominance analysis and random forests
vguey,Selection of the Number of Participants in Intensive Longitudinal Studies: A User-friendly Shiny App and Tutorial to Perform Power Analysis in Multilevel Regression Models that Account for Temporal Dependencies
vnbxk,"Gaming Habits and Psychological Well-being: An international dataset about the Anxiety, Life Satisfaction and Social Phobia of over 13000 gamers"
vprwb,Data and code for lmerTest tutorial manuscript
vwq9p,A Dictionary-Based Comparison of Autobiographies by People and Murderous Monsters
vy763,Supplemental materials for paper: A closer look at fixed effects regression in SEM
w7afh,Toward a new personality model of responses to uncertainty
w7pjy,Critical Layer Validation---Data and Code
w97h4,Vogel &amp; Willems (2020). The effects of making public service employees aware of their prosocial and societal impact: A microintervention
wc3nq,The effects of maternal social connectivity and integration on offspring survival in a marmot. Data and code.
wcfj3,Cognitive Benefits of Learning Additional Languages in Old Adulthood? Insights from an Intensive Longitudinal Intervention Study
wxgm5,Context Effects in Reproduction and Perception of Song Tempo
wxgzu,SMART Mental Health Prediction Tournament
wyrav,"The Impact of the Early Stages of COVID-19 on Mental Health in the United States, Germany, and the United Kingdom"
xgwzf,Cross-modal facilitation of episodic memory by sequential action execution
xhrw6,Childhood and Adulthood Predictors of Critical Consciousness
xjm6z,Bayesian analysis of cross-sectional network psychometrics: A tutorial in R and JASP
xuz8d,Thesis
y5gr9,Diversifying Research Methods Syllabi
yc8b5,Text Analysis
yfegm,Infants' Object Processing in the Context of Third-Party Social Interactions
yvw93,Response Surface Analysis in Personality and Social Psychology: Checklist and Clarifications for the Case of Congruence Hypotheses
ywm3r,Supplementary data for Uncovering the Motivational Core of Traits: The Case of Conscientiousness
z39us,COVIDiSTRESS global survey
z6nm8,The behavioural ecology of optimism
zfqax,Social Ball: An immersive research paradigm to study social ostracism
zhf98,"Politics in science: study1- political relevence, pre-reg main study+dataset"
zv3uc,Open Science and Terrorism Studies
